Index, Raw, Filtered
1066, 1559.58, 1561.44
1067, 1559.58, 1561.53
1068, 1559.48, 1561.54
1069, 1560.15, 1561.68
1070, 1559.96, 1561.76
1071, 1559.67, 1561.76
1072, 1559.48, 1561.69
1073, 1559.39, 1561.62
1074, 1559.48, 1561.59
1075, 1559.00, 1561.47
1076, 1558.91, 1561.35
1077, 1558.62, 1561.18
1078, 1558.71, 1561.08
1079, 1558.52, 1560.96
1080, 1558.62, 1560.89
1081, 1559.10, 1560.95
1082, 1558.52, 1560.86
1083, 1559.00, 1560.90
1084, 1558.43, 1560.82
1085, 1558.52, 1560.78
1086, 1558.62, 1560.80
1087, 1558.14, 1560.73
1088, 1558.43, 1560.74
1089, 1559.10, 1560.89
1090, 1559.29, 1561.03
1091, 1559.58, 1561.21
